tweet,label,sw_count,len_tweet,asterisk
 the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade ableg cdnpoli,NOTABU,0,169,0
 and who seems to be getting things done.,NOTABU,0,41,0
i added a video to a playlist url combat mon frere vs ismael et maga assassin vs david le boxer yfc ),NOTABU,0,101,0
 so has the law changed...you just make an allegation now days and your guilty until proven innocent liberals are mentally ill!,EXP,0,127,0
 straight up different thank joe biden for that one i also wonder the outcome if her name had been antifa hill.,NOTABU,1,111,0
 this game sucks donkey balls,EXP,0,29,0
 yo for real you are gorgeous,NOTABU,0,29,0
 absolutely should be a nail in the coffin... for hilliary,IMP,0,58,0
 i hope he gets on twitter so i can tell him how amazing he is 😄,NOTABU,0,64,0
 who are they gun control has been tried and is a proven failure this is why people don’t vote democrat they refuse to admit reality gun control doesn’t work.,NOTABU,0,158,0
 so the overwhelming liberals in the populated states can make policy for the rest of america with whom they have no clue about just because california has the biggest population does not mean the u.s shares in their values get a clue hillary.,NOTABU,0,243,0
 doesn't he partly fund antifa?,NOTABU,0,31,0
 he is a dumbass !!!!,EXP,1,21,0
  ..and levistrauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away or is it just selective freedoms url,IMP,0,148,0
 at this point in time.. i don't think pres trump gives a sh*t.. and neither do i lol url,NOTABU,0,89,1
 o.k conservatives get to the polls vote red.,NOTABU,0,45,0
 donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice will prevail,EXP,2,256,0
"a harvard/harris poll conducted this year found that  percent of black americans said they would like to see between only one and 50,00 legal immigrants brought to the u.s a year. url maga tcot""",NOTABU,0,194,0
 any doubt that have officially become the national socialist american workers party is gone with ppl like those on and acting as der sturmer and antifa as their einsatzgruppen/waffen ss detachment.,NOTABU,0,198,0
 oh my carmen he is so fricking cute,NOTABU,0,36,0
 chelsea is as crazy as her mother,EXP,0,34,0
 it's time the conservatives binnedboris and sent lyin lynton back to australia.,NOTABU,0,80,0
 the 01 manifesto promised me my vote back so where is it you think brexit would have gone through if all the brits in the eu2 had been allowed to vote the referendum was gerrymandered.,NOTABU,1,185,0
" the metoo movement must be an extension of antifa and is a complete joke if this movement wasn't selective joe biden would be in court for fonding girls on camera"" url",NOTABU,0,168,0
 you are awesome thank you you give humanity hope!,NOTABU,0,50,0
 goober,NOTABU,0,7,0
 another uninformed,NOTABU,0,19,0
 i forgot he is their foster child!,NOTABU,0,35,0
" and the brainless dems wants us to believe that he doesn't have the majority liberals is just like their leaders the corrupts obama and crookedhillary both are real bad losers maga trump""",EXP,1,188,0
 no fucking way he said this!,NOTABU,1,29,0
 such supposedly smart people didn't think for one moment that in the audience there are people who voted trump and are scared shitless hearing the top brass speak that way.,NOTABU,1,173,0
 i'm not surprised it takes a sick woman to make this type of accusations the kind you can only find on the far left liberals are praying that the really weak members of the gop like collins and flake will pull back their support.,NOTABU,0,230,0
 california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control!,IMP,1,154,0
 or where  oct 00 brazil citizens overwhelming voted no on the government implementing strict gun control by a factor of 3.9 and the brazilian government still violates that referendum everyday as brazilians are murdered w/zero effective method of self defense,NOTABU,0,260,0
"...if we claim to be without sin we deceive ourselves and the truth is not in us if we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness  john :5-9)""",NOTABU,0,208,0
 and yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else but yet they want to have stronger gun control idiots  our wonderful media has to hype incidents that fits their agenda.,EXP,0,254,0
 yes do hurt your selves gun control freaks.,EXP,0,44,0
 you get more like this guy with every hysterical tweet url,NOTABU,0,59,0
 he always shows dedication at what he does no wonder he is the best url,NOTABU,0,72,0
 bullshit regulations are good because it keeps conservatives from striping our land into the abyss,IMP,1,99,0
 the owner of my culo,NOTABU,0,21,0
now she scarred herself for life lol maga url,NOTABU,0,45,0
 you fucking ,NOTABU,1,13,0
confirm the man the left wing activist is a liar who's story changes no hard evidence christineblaseyford innocent until proven guilty confirmkavanaugh maga weakrinos republicans,EXP,1,178,0
 reagan also signed the first gun control bill as governor of ca,NOTABU,0,64,0
 awe hogwash do we really need you to overstate the obvious?,NOTABU,1,60,0
30 years as a judge... extensive backgrounds...not a peep...link to trump...boom.. do conservatives only rape liberals?? url,NOTABU,0,124,0
i'm assuming i'm not going to get an answer' brainless liberal stooge ocasio-cortez on 40t policy plan url wakeupamerica this is not america's future vote republican or surrender america to these dem morons maga,EXP,1,211,0
(1 this man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others (2 i'm waiting for gun control advocates to add this to their list of school shootings. (3 who buys 2 caliber handguns why url,NOTABU,0,271,0
 leftists showing yet again how vile they can be,EXP,1,48,0
 he is a drunk crazy man.,EXP,1,25,0
  honored to be included with all these fine patriots thank you rena maga 🇸😀💕🇺 dean url,NOTABU,0,87,0
 please shut up ontario is seeing what conservatives stand for is not helping you loose this province your never going anywhere. not they you will any way your completely out of tune with canadian mr harper oops i mean mr scheer common mistake you so much alike.,NOTABU,0,262,0
 you are not alone i was sexually assaulted by a fellow law student in 978 i never reported it because i didn't think i would be believed however something happened that made me realize i wasn't his only victim then i felt i'd made a colossal mistake.,NOTABU,0,251,0
 but liberals do.,NOTABU,0,17,0
 another terrorist attack not reported by msm,NOTABU,0,45,0
 dont know who you are so imma just url,NOTABU,0,39,0
 all that money hadn't made u smarter.,IMP,0,38,0
 yes! he is from gilmer! it makes me laugh so much!,NOTABU,0,51,0
 u both r my lifeline❤🙏 ,NOTABU,0,24,0
 always thought h ford was a level headed guy guess not note to ford climate change is summer-fall winter-spring! happens every year get over it!,NOTABU,0,145,0
 yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉,IMP,1,93,0
 unfortunately you're right keep it real she is the assault weapon!,NOTABU,0,67,0
 she is real rocky 🔥 oh my god !,NOTABU,0,32,0
 thank you to everyone for making this possible you are amazing and so are the beautiful bears i'm a member of olivers army and i appreciate everything you do to make lives better.,NOTABU,0,180,0
 yeah we got everything sorted that needed to be sorted she is still only taking small sips of her wine unusual for emily but she guessed jj wouldn’t profile her,NOTABU,0,161,0
 by the way why don’t you move to haiti you liberals seem to make shit holes out of large cities so go somewhere where it’s already a shit hole so you don’t have to do any work ,IMP,1,177,0
 yes she is,NOTABU,0,11,0
 he tried this before and it went nowhere he's 00 pro gun control done.,NOTABU,0,71,0
 he could have killed as many with a hunting rifle with the time and vantage he had he had close to an hour before police entered his room his actual shooting was over  min making this about gun control is just going to get more people killed we need to be smarter.,NOTABU,1,265,0
" aha yes i see that the individual sense of needing to belong to a winning team because of the constant conditioning of self-devaluation i see a strong sense of this on the q side but on the left/hillary/antifa side as well regardless if they think they're winning or not.""",NOTABU,0,273,0
 oh no i know why that i just don't know what she is talking about because i don't see a tweet she is repling too lol,NOTABU,0,117,0
 and here we have another demonstration that gun free zones don’t work brought to you by a liberal who more than likely supports stricter gun control.,NOTABU,0,150,0
shouldn't pussy grabbing be the one wearing the gloves while handling food maga url,IMP,1,83,0
 you have no plan for the environment even conservatives should be able to understand that you have to be able to live on the planet to make money there.,NOTABU,0,153,0
 this is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is that simple fact of life breaks their brains.,NOTABU,0,212,0
" antifa doesn't beat facsists to try to get them to change their mind they know it's a lost cause to try to change a fascist's mind they do it to scare them into hiding to demoralize them and to stop the spread of their hateful ideology there is no forcing views on others"".""",IMP,1,275,0
 soros is at the root of everything and anything anti american he has his money in hollywood all the way to islam and antifa to illegals url,NOTABU,0,140,0
firemorningjoe he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump url,EXP,2,150,0
 truly has got to be the most idiotic thing i've ever seen.,EXP,1,59,0
 brigitte gabriel has experienced a life that most would have nightmares from she is sounding the alarm for americans buy her book pay attention to what she is warning america about,NOTABU,0,181,0
 it does work if you want to control a population australian gun control had no effect on homicides.,NOTABU,1,100,0
 poor baby.,NOTABU,0,11,0
 antifa democrats dixiecrats kkk url url,NOTABU,0,40,0
 liberals ruin everything!,EXP,0,26,0
" and don't forget his telling a primarily black liberal audience conservatives want to put them back in chains""""",NOTABU,0,112,0
 sad for both!! to be exploited and also to have a reputation destroyed now i’ve read she’s part of antifa ???!,NOTABU,0,111,0
 that's what happens when you let a liberal get a hold of a gun that would be a good place to start gun control ban liberals from getting guns.,EXP,0,143,0
 you look happy maga,NOTABU,0,20,0
 trump proposes racial profiling as a tactic to start thinking about url,NOTABU,0,72,0
 introducing my sweet sweet baby king he is always sooo nice and when i try to sit on the sofa he never attacks me url,NOTABU,0,118,0
 there all gone tho and inputed them from bottom to top with the first 0seconds of your tweet you good tmart 🏻,NOTABU,0,110,0
 exactly he is on record basically saying the president is above the law. it should be noted that the gop is fine with this rudy has his own issues url,NOTABU,0,151,0
kamalaharris the new dem emperor with no clothes taxpayers funded unprecedented armed protection for gun control sen kamala harris url via ,NOTABU,0,139,0
 yet she is fat herself.,EXP,0,24,0
 there was plenty of evidence that he was guilty of what hill accused him of but since conf hearings aren't about guilty/innocence got on the bench times are diff now why as a journalist you don't call out white supremacy/alt-right but antifa and pick on ,NOTABU,0,255,0
 you don’t understand who he is and is capablities despite the proof in the economy my hypothesis is that you have been lied to by liberals your entire life and are believing what you are told the liberal media made bill clinton look good and could do the same with trump.,NOTABU,0,272,0
..oath must be subpoenaed to testify there is a lifetime appointment at stake here please do it right this time amp do not allow orrin hatch who has already made up his mind she is lying be allowed to question her his kind of questions could invite a lawsuit.,NOTABU,1,259,0
 y’all are the best,NOTABU,0,19,0
 what a joke she is a gem alright! she is a racist phony right along with this racist phony that thinks she will follow me from her second account and block me because i speak the truth i could care less about follower's like it's a big party i care that they discriminate url,EXP,1,276,0
 indeed he is.,NOTABU,0,14,0
 because i'm a little concerned about the q followers because they slowly become more and more a sort of right wing sjw antifa thingie (also excuse me for my horrible english it's not my native languase and didn't had much schooling in it so i'm sorry if it sucks ),NOTABU,2,265,0
 yep antifa are literally hitler.,NOTABU,0,33,0
 wow you are so hot 😍😍😍😗😗😗😗😗,NOTABU,0,28,0
 she is the most deserving woman to be happy !,NOTABU,0,46,0
 i've noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter.,NOTABU,0,90,0
 may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens don’t believe all the shit that goes on in your head.,IMP,1,189,0
 that's just modelling plenty of women make shit tons of money just for looking good,NOTABU,1,84,0
just watching a horizon show about scientists that discovered a dna mix between humans and neanderthals.would have thought trump getting elected would have been proof enough maga,NOTABU,0,178,0
 i hope there is a way to watch it on tv ted spanking liberals is always enjoyable.,NOTABU,0,83,0
 just looked up his work history he is listed on the board of leading age services aust lasa and comes from medicare local alliance...what ever the hell that is,NOTABU,0,160,0
 he should look in a mirror!,NOTABU,0,28,0
 i’m sure he is ,NOTABU,0,16,0
 send him this party manifesto where they promised they will help families maybe that will remind him his duties hostileenvironment priceonlove skypefamilies url,NOTABU,0,161,0
" families being separated at the border in fact the picture of children in cages that liberals were using to show how evil trump is was actually taken while obama was president""",NOTABU,1,177,0
 but antifa is her people,NOTABU,0,25,0
 we had a peoples vote on  june 016 the people rejected the craven worship which you stand for by a majority of over m you’re contemptuously defying the will of the people amp 201 ge manifesto amp supporting soros in undermining democracy instead,NOTABU,2,246,0
 cause who bitches be playing with 😭😭 god aint give me the gift for nothing,IMP,0,75,0
 she is free as a bird to return to her muslim homeland,NOTABU,0,55,0
mom speaks into her phone to compose a text for my brother she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling 🏻‍♀️,NOTABU,0,190,0
 melting snow flakes,NOTABU,0,20,0
 who’s the victim that remains to be seen liberals have turned kavanaughs hearings into a circus from the first minute it started.,NOTABU,0,130,0
 coming from the man that threatened to try and kick turmps ass now don't that take a set of ball's,IMP,1,99,0
 you're shocked to hear that liberals want to centralize power at the federal level?,NOTABU,0,84,0
 he is best of the best!😍😍,NOTABU,0,26,0
whatilearnedtoday liberals can’t win without lying,NOTABU,1,50,0
 fast and furious holder lol,NOTABU,0,28,0
 getting scared ugly man?,IMP,0,25,0
 is one of the only shows that are a progressive that i can stand to watch he dislikes the right and left evenly and you know who he is right from the start if you've never seen his show check it out on youtube insightful 🇺 maga,NOTABU,0,228,0
 he is not supreme court worthy,NOTABU,0,31,0
 god i hope not url,NOTABU,0,19,0
 yes he is,NOTABU,0,10,0
 bitch. url,NOTABU,0,11,0
&amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,NOTABU,2,213,0
++ i can't prove causation either but while the conservatives in cda surely love the idea of 𝚎𝚝𝚊𝚕 𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎( bashing pm can't help but think they're also egging the former to continue the bashing to boost their fortune(s vainly url,NOTABU,1,232,0
 republican men in a picture  and  what are men of that age are law makers too old no sorry young republicans are like young conservatives they are all born at  years of age,NOTABU,0,173,0
 liberals can’t meme they have no sense of humor or knowledge of meme-ing philosophy.,NOTABU,0,85,0
 any she is stunning,NOTABU,0,20,0
 yea your the bitch on the right getting smacked url,EXP,1,52,0
" why the focus on the proud boys i know you're not a real journalist kelly but why not focus on the ones doing all of the violence antifa if you want a story focus on why journalists leftist activists are constantly ignoring antifa's attacks on people.""",NOTABU,0,253,0
 hahaha big thighs is not going to make it,NOTABU,0,42,0
 it’s called educating liberals.,NOTABU,0,32,0
maga christineford trump202 tcot ccot americafirst patriots brettkavanaugh had this to say about bill clinton during whitewater it's imperative to make his pattern of revolting behavior clear  piece by painful piece. indeed url,NOTABU,2,227,0
maga people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government and what jobs did he create labour which pays less than living wage lmao url,EXP,0,269,0
 if you wonna get paid...pick up the energy people!!! scream and shout like you’re at the kavanaugh hearing url,NOTABU,0,111,0
